gsno,lid,lat,lon,elev
12149000,CRNW1,47.666667,121.916667,60.0
12061500,SRPW1,47.31,123.175833,11.0
12449950,PATW1,48.073056,119.990833,900.0
12302055,FISM8,48.35556,115.31389,2134.0
12048000,DRSW1,48.01667,123.13333,569.0
12484500,UMTW1,46.86278,120.47889,1300.0
14170000,MNRO3,44.313056,123.295278,271.0
14309000,AZAO3,42.825,123.17778,1705.0
13338500,STII1,46.08667,115.97556,1300.0
13172500,SWAI1,43.29194,116.42,2271.0
14103000,MODO3,45.6167,120.9,167.0
13075000,MCCI1,42.63,112.225556,4610.0
13060000,SHYI1,43.413056,112.133889,4599.0
13075500,PIHI1,42.871667,112.468056,4418.0
12025500,CENW1,46.711667,122.9775,185.0
14152000,JASO3,43.99861,122.90556,513.0
14359000,RYGO3,42.4375,122.98611,1122.0
12117500,LNDW1,47.393889,121.953333,566.0
12340500,ABOM8,46.87722,113.93139,3198.0
12210500,DEMW1,48.816667,122.2,231.0
12035000,SATW1,47.0,123.5,30.0
14207500,WSLO3,45.350556,122.675556,85.0
14202000,AURO3,45.23361,122.75028,72.0
12401500,FRYW1,48.983333,118.766667,1837.0
13055000,TEAI1,43.927222,111.615278,4970.0
13266000,WSRI1,44.2675,116.771111,2206.0
12357000,ESSM8,48.275,113.602778,3727.0
14200000,CANO3,45.244444,122.686111,94.0
14226500,PACW1,46.61667,121.68333,1048.0
14302480,TRAO3,45.44639,123.70917,50.0
12389000,PLNM8,47.42972,114.855,2449.0
14190500,SUVO3,44.783333,123.233333,172.0
13075910,PTYI1,42.944444,112.544444,4370.0
14162500,VIDO3,44.133333,122.466667,856.0
14038530,JHNO3,44.418611,118.905833,3131.0
14231000,RAWW1,46.5319,121.9569,880.0
13052200,DGGI1,43.781944,111.209167,5953.0
14357500,MFDO3,42.33333,122.86667,1342.0
13292000,IMNO3,45.562222,116.833056,1968.0
14165000,SPRO3,44.09278,122.95556,442.0
12480599,HLKW1,47.12417,120.73917,1700.0
14211010,COCO3,45.37944,122.57611,15.0
14209500,TLYO3,45.1219,122.07,1120.0
12365000,STWM8,48.31889,114.38639,2953.0
12306500,EASI1,48.99944,116.17861,2748.0
12483600,ELNW1,47.06028,120.64528,1530.0
12194000,CONW1N,48.524444,121.769722,130.0
13148500,WODI1,43.39,113.999722,4990.0
12209000,WKMW1,48.664444,122.165556,385.0
12490050,CLFW1,46.900556,121.018056,2195.0
13050500,ANTI1,43.9667,111.672,4951.0
13018750,JKSW4,43.3722,110.73861,5950.0
14037500,07S,47.968611,117.421389,2112.0
12134500,GLBW1,47.835556,121.66,209.0
13317000,WHBI1,45.75028,116.32306,1413.0
12237000,FQRQ2,49.866667,118.083333,1549.0
14171600,CORO3,44.566111,123.256944,192.0
14187500,WTLO3,44.498611,122.822222,380.0
14207740,OCUO3,45.348056,122.621111,50.0
14157500,GOSO3,43.98056,122.96528,474.0
14299800,VENO3,45.80722,123.28194,640.0
14021000,PDTO3,45.671111,118.791944,1055.0
12442500,NITW1,48.984722,119.617222,1137.7
13062500,SNAI1,43.197222,112.368056,4490.0
14179000,BRBO3,44.752778,122.1278,1574.0
12094000,FFXW1,47.033333,122.033333,1213.0
14243000,CASW1,46.275,122.913333,20.2
14210000,ESTO3,45.3,122.352778,287.0
12101500,PUYW1,47.21667,122.33333,50.0
14207770,ORCO3,45.357778,122.609722,10.0
14166000,HARO3,44.270556,123.1725,288.0
14018500,TCHW1,46.033333,118.733333,405.0
14366000,APRO3,42.25,123.13333,1285.0
13302500,SMNI1,45.183333,113.894444,3911.0
13334300,ANAW1,46.097222,116.976667,807.0
12414500,CLDI1,47.27167,116.19389,2096.0
12510500,KIOW1,46.25333,119.47722,454.0
12355500,FCFM8,48.49556,114.12667,3145.0
12026600,CTAW1,46.73028,122.95361,190.0
12413500,CTLI1,47.5547222222,116.323055556,2100.0
12494000,NACW1,46.746667,120.768056,1570.0
11502500,WMSO3,42.565,121.87833,4149.0
13342500,SPDI1,46.44861,116.82583,770.0
14312200,DEEO3,43.22,123.27,690.0
13011500,PACW4,43.85,110.5178,6720.0
12451000,STHW1,48.333333,120.683333,1099.0
13336500,SELI1,46.086667,115.512778,1540.0
14301000,FSSO3,45.704167,123.7554,33.0
12422500,SPOW1,47.659444,117.448056,1696.0
